City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
326,Conde,BR,72.86,few clouds,-7.2597,-34.9075,João Pessoa
330,Cascais,PT,62.98,broken clouds,38.6979,-9.4215,Cascais
332,Ostrovnoy,RU,45.59,clear sky,68.0531,39.5131,Ostrovnoy
334,Mandalgovi,MN,46.94,broken clouds,45.7625,106.2708,Mandalgovi
338,Snasa,NO,49.41,light rain,64.2457,12.3778,Snasa
340,Wuan,CN,61.34,overcast clouds,31.6836,112.0044,Xiangyang
341,Dunedin,NZ,55.8,light rain,-45.8742,170.5036,Dunedin
342,Haileybury,CA,50.58,clear sky,47.449,-79.6373,Temiskaming Shores
348,Freeport,US,64.36,overcast clouds,40.6576,-73.5832,Hempstead
349,Shestakovo,RU,45.91,broken clouds,56.4915,103.96,Shestakovo
350,Mbala,ZM,72.36,scattered clouds,-8.8402,31.3659,Mbala
354,Vao,NC,71.94,few clouds,-22.6667,167.4833,Vao
355,Nampa,US,68.04,clear sky,43.5407,-116.5635,Nampa
358,Broken Hill,AU,69.51,clear sky,-31.95,141.4333,Broken Hill
359,Necochea,AR,45.27,scattered clouds,-38.5473,-58.7368,Necochea
362,Palmer,US,56.14,overcast clouds,42.1584,-72.3287,Palmer
363,Maceio,BR,71.04,few clouds,-9.6658,-35.7353,Maceió
365,Luau,AO,69.82,overcast clouds,-10.7073,22.2247,Luau
366,Maua,BR,64.36,overcast clouds,-23.6678,-46.4614,Mauá
368,Lamar,US,64.06,clear sky,33.6668,-95.5836,Paris
370,Ramsar,IR,63.84,overcast clouds,36.9226,50.6426,Ramsar
374,Martil,MA,64.47,clear sky,35.6166,-5.2752,Tetouan
375,Rio De Janeiro,BR,74.91,overcast clouds,-22.9028,-43.2075,Rio de Janeiro
376,Simplicio Mendes,BR,75.0,broken clouds,-7.8539,-41.9103,Simplício Mendes
378,Kaitangata,NZ,53.24,scattered clouds,-46.2817,169.8464,Kaitangata
379,Bouna,CI,72.05,scattered clouds,9.2667,-3.0,Bouna
382,Huarmey,PE,63.66,overcast clouds,-10.0681,-78.1522,Cercado de Huarmey
384,Kuusamo,FI,46.44,light intensity shower rain,65.9667,29.1833,Kuusamo
387,Huntsville,US,70.2,overcast clouds,34.7304,-86.5861,Huntsville
389,Khorixas,,66.0,clear sky,-20.3667,14.9667,Khorixas
390,Elliot Lake,CA,53.69,clear sky,46.3834,-82.6331,Elliot Lake
392,Genc,TR,52.16,clear sky,38.7507,40.5603,Genç
